job_key,job_id,category,category_clean,job_title,skill_count,description_word_count,is_true_data_science_role,data_role_family,classification_reason,seniority_level,is_internship_role,student_job_match_score
JOB_3902668440,3902668440,HR,Hr,Sr Human Resource Generalist,27,583,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905823748,3905823748,HR,Hr,Human Resources Manager,16,323,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905854799,3905854799,HR,Hr,Director of Human Resources,20,666,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905834061,3905834061,HR,Hr,Chief Human Resources Officer,18,416,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3906250451,3906250451,HR,Hr,Human Resources Generalist (Hybrid Role),20,604,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901389277,3901389277,HR,Hr,Human Resources Manager,21,1311,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3902348043,3902348043,HR,Hr,Human Resources Generalist,19,640,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906258424,3906258424,HR,Hr,Human Resources Information System Specialist,20,438,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3891070825,3891070825,HR,Hr,Human Resources Generalist,12,103,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901949090,3901949090,HR,Hr,Human Resources Project Manager,18,210,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3903461892,3903461892,HR,Hr,Human Resources Information System Partner III,15,626,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3891073623,3891073623,HR,Hr,Human Resources Specialist,19,466,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3894573937,3894573937,HR,Hr,Human Resources Generalist,16,741,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901372502,3901372502,HR,Hr,Human Resources Coordinator,20,300,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901176444,3901176444,HR,Hr,Director of Human Resources,20,590,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905824247,3905824247,HR,Hr,Human Resources Generalist,25,882,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905340218,3905340218,HR,Hr,Human Resources Assistant,11,203,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902344478,3902344478,HR,Hr,Junior Human Resources Consultant,12,269,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Entry / Junior,No,0.0
JOB_3905690261,3905690261,HR,Hr,Human Resources Business Partner,20,661,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3900984023,3900984023,HR,Hr,Human Resources Solutions Manager,16,1036,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3905835705,3905835705,HR,Hr,Human Resources Generalist,14,247,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3891011926,3891011926,HR,Hr,Human Resources Generalist,19,380,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3903808419,3903808419,HR,Hr,Supervisory Human Resources Specialist,20,1012,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3904415999,3904415999,HR,Hr,Human Resources Coordinator - A&F Co.,13,640,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3884899919,3884899919,HR,Hr,Human Resources Recruiter,18,347,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3901662440,3901662440,HR,Hr,Human Resources Intern,13,367,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Internship,Yes,0.0
JOB_3891070846,3891070846,HR,Hr,Human Resources Manager,22,672,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901661179,3901661179,HR,Hr,Chief Human Resource Officer,37,1075,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901982681,3901982681,HR,Hr,Human Resources Assistant,16,858,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906086110,3906086110,HR,Hr,Human Resources Generalist,21,327,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3906258049,3906258049,HR,Hr,Principal Human Resources Business Partner,25,923,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3884809131,3884809131,HR,Hr,Human Resources Business Partner,19,257,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905239401,3905239401,HR,Hr,Human Resources Director,19,216,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3900977307,3900977307,HR,Hr,Human Resources Specialist,19,506,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3884440664,3884440664,HR,Hr,Human Resources Assistant,14,872,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905292617,3905292617,HR,Hr,Administrative Assistant - Human Resources,12,684,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902339909,3902339909,HR,Hr,Human Resources Manager,19,423,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3901942387,3901942387,HR,Hr,Human Resources Business Partner,23,1138,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3884818696,3884818696,HR,Hr,Human Resources Generalist,23,738,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3888951704,3888951704,HR,Hr,Human Resources Manager,16,157,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3904944888,3904944888,HR,Hr,Human Resources Support Analyst ISA I-D,18,598,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3905336528,3905336528,HR,Hr,Human Resources Coordinator | Corpus Christi Bayfront,20,1015,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Mid / Not Specified,No,0.0
JOB_3902830704,3902830704,HR,Hr,Sr. Human Resources Specialist for Title IX and Employee Relations,15,618,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
JOB_3900085113,3900085113,HR,Hr,Human Resources Manager - Bilingual (Spanish),20,320,No,Not Data Science,Not enough evidence: advanced data skill score = 0,Senior / Management,No,0.0
